ID,name,year,poster,trailer,status,director,nation,duration,gernes,view,like,star,decrip
16,Bà Tôi Là Công Chúa - Oh! My Gran,2020,Data\Image\17.jpg,Data\Video\17.mp4,HD Vietsub - Thuyết minh,Leong Se-Gyo,Hàn Quốc,1 h 49 m,Chính khách/Hài hước,1,2,5,Data\Description\17.txt
17,Quá Khứ Đông Sơn - Tongshan Past Without Darkness Under The Lamp,2022,Data\Image\18.jpg,Data\Video\18.mp4,HD Vietsub - Thuyết minh,Wang Yiqiu,Trung Quốc,1 h 11 m,Hài hước,1,2,2,Data\Description\18.txt
18,Hoa Mộc Lan - Mulan,2020,Data\Image\19.jpg,Data\Video\19.mp4,HD Vietsub - Thuyết minh,Niki Caro,Trung Quốc,1 h 55 m,Hành động/Kỳ ảo,1,2,4,Data\Description\19.txt
19,Bẫy Ngọt Ngào - Sweet Trap,2022,Data\Image\20.jpg,Data\Video\20.mp4,HD Vietsub - Thuyết minh,Đinh Hà Uyên Thư,Việt Nam,1 h 30 m,Chính kịch,1,2,3,Data\Description\20.txt
20,Eternals: Chủng Tộc Bất Tử - Eternals,2021,Data\Image\21.jpg,Data\Video\21.mp4,HD Vietsub - Thuyết minh,Chlóe Zhao,Mỹ,2 h 37 m,Hành động/Kỳ ảo,1,2,4,Data\Description\21.txt
21,Phù Thủy Tối Thượng 2: Trong Đa Vũ Trụ Hỗn Loạn - Doctor Strange in The Multiverse Of Madness,2022,Data\Image\22.jpg,Data\Video\22.mp4,HD Vietsub - Thuyết minh,Sam Raimi,Mỹ,2 h 6 m,Hành động/Phiêu lưu,1,2,5,Data\Description\22.txt
22,Người Nhện: Không Còn Nhà - Spider-Man: No Way Home,2021,Data\Image\23.jpg,Data\Video\23.mp4,HD Vietsub - Thuyết minh,John Watts,Mỹ,2 h 28 m,Hành động/Phiêu lưu,1,2,5,Data\Description\23.txt
23,Diệp Vấn 1 - Ip Man 1,2008,Data\Image\24.jpg,Data\Video\24.mp4,HD Vietsub - Thuyết minh,Wilson Yip,Trung Quốc,1 h 46 m,Hành động,1,2,5,Data\Description\24.txt
24,Diệp Vấn 2 - Ip Man 2,2010,Data\Image\25.jpg,Data\Video\25.mp4,HD Vietsub - Thuyết minh,Wilson Yip,Trung Quốc,1 h 48 m,Hành động,1,2,5,Data\Description\25.txt
25,Diệp Vấn 3 - Ip Man 3,2015,Data\Image\26.jpg,Data\Video\26.mp4,HD Vietsub - Thuyết minh,Wilson Yip,Trung Quốc,1 h 45 m,Hành động,1,2,5,Data\Description\26.txt
26,The Recon - The Recon,2022,Data\Image\27.jpg,Data\Video\27.mp4,HD Vietsub - Thuyết minh,Đang cập nhật,Hàn Quốc,1 h 41 m,Hành động/Tình cảm,1,2,3,Data\Description\27.txt
27,Bỗng Dưng Trúng Số - 6/45,2022,Data\Image\28.jpg,Data\Video\28.mp4,HD Vietsub - Thuyết minh,Park Gyu-Tae,Hàn Quốc,1 h 53 m,Hài hước,1,2,5,Data\Description\28.txt
28,Vệ Binh Giải Ngân Hà: Ngày Lễ Đặc Biệt - The Guardians Of The Galaxy: Holiday Special,2022,Data\Image\29.jpg,Data\Video\29.mp4,HD Vietsub - Thuyết minh,James Gun,Mỹ,45 m,Hành động/Hài hước/Viễn tưởng,1,2,4,Data\Description\29.txt
29,Ngủ ngon Oppy - Good Night Oppy,2022,Data\Image\30.jpg,Data\Video\30.mp4,HD Vietsub - Thuyết minh,Ryan White,Mỹ,1 h 45 m,Kỳ ảo,1,2,4,Data\Description\30.txt
